تاریخ,تاریخ شمسی,قیمت فروش,درصد
2022-08-13,1401-05-22,30500,-2.2%
2022-08-14,1401-05-23,30450,-0.2%
2022-08-15,1401-05-24,30150,-1.0%
2022-08-16,1401-05-25,30100,-0.2%
2022-08-17,1401-05-26,29900,-0.7%
2022-08-18,1401-05-27,29900,0.0%
2022-08-19,1401-05-28,29900,0.0%
2022-08-20,1401-05-29,28700,-4.0%
2022-08-21,1401-05-30,29000,1.0%
2022-08-22,1401-05-31,29400,1.4%
2022-08-23,1401-06-01,29300,-0.3%
2022-08-24,1401-06-02,29200,-0.3%
2022-08-25,1401-06-03,29750,1.9%
2022-08-26,1401-06-04,29750,0.0%
2022-08-27,1401-06-05,29900,0.5%
2022-08-28,1401-06-06,29600,-1.0%
2022-08-29,1401-06-07,29700,0.3%
2022-08-30,1401-06-08,29800,0.3%
2022-08-31,1401-06-09,29950,0.5%
2022-09-01,1401-06-10,29820,-0.4%
2022-09-02,1401-06-11,29820,0.0%
2022-09-03,1401-06-12,30000,0.6%
2022-09-04,1401-06-13,30250,0.8%
2022-09-05,1401-06-14,30220,-0.1%
2022-09-06,1401-06-15,30140,-0.3%
2022-09-07,1401-06-16,30180,0.1%
2022-09-08,1401-06-17,30250,0.2%
2022-09-09,1401-06-18,30300,0.2%
2022-09-10,1401-06-19,30380,0.3%
2022-09-11,1401-06-20,30900,1.7%
2022-09-12,1401-06-21,31100,0.6%
2022-09-13,1401-06-22,31700,1.9%
2022-09-14,1401-06-23,31500,-0.6%
2022-09-15,1401-06-24,31670,0.5%
2022-09-16,1401-06-25,31670,0.0%
2022-09-17,1401-06-26,31900,0.7%
2022-09-18,1401-06-27,31750,-0.5%
2022-09-19,1401-06-28,31800,0.2%
2022-09-20,1401-06-29,31700,-0.3%
2022-09-21,1401-06-30,31750,0.2%
2022-09-22,1401-06-31,31760,0.0%
2022-09-23,1401-07-01,31750,0.0%
2022-09-24,1401-07-02,31700,-0.2%
2022-09-25,1401-07-03,31650,-0.2%
2022-09-26,1401-07-04,31680,0.1%
2022-09-27,1401-07-05,31730,0.2%
2022-09-28,1401-07-06,31830,0.3%
2022-09-29,1401-07-07,32150,1.0%
2022-09-30,1401-07-08,32120,-0.1%
2022-10-01,1401-07-09,33180,3.3%
2022-10-02,1401-07-10,33120,-0.2%
2022-10-03,1401-07-11,33250,0.4%
2022-10-04,1401-07-12,33230,-0.1%
2022-10-05,1401-07-13,32990,-0.7%
2022-10-06,1401-07-14,32880,-0.3%
2022-10-07,1401-07-15,32850,-0.1%
2022-10-08,1401-07-16,32720,-0.4%
2022-10-09,1401-07-17,32400,-1.0%
2022-10-10,1401-07-18,32580,0.6%
2022-10-11,1401-07-19,32850,0.8%
2022-10-12,1401-07-20,32670,-0.5%
2022-10-13,1401-07-21,33000,1.0%
2022-10-14,1401-07-22,33000,0.0%
2022-10-15,1401-07-23,32850,-0.5%
2022-10-16,1401-07-24,33100,0.8%
2022-10-17,1401-07-25,32850,-0.8%
2022-10-18,1401-07-26,32950,0.3%
2022-10-19,1401-07-27,32800,-0.5%
2022-10-20,1401-07-28,32780,-0.1%
2022-10-21,1401-07-29,32710,-0.2%
2022-10-22,1401-07-30,32840,0.4%
2022-10-23,1401-08-01,32750,-0.3%
2022-10-24,1401-08-02,32800,0.2%
2022-10-25,1401-08-03,32890,0.3%
2022-10-26,1401-08-04,32900,0.0%
2022-10-27,1401-08-05,33030,0.4%
2022-10-28,1401-08-06,33080,0.2%
2022-10-29,1401-08-07,33050,-0.1%
2022-10-30,1401-08-08,33110,0.2%
2022-10-31,1401-08-09,33320,0.6%
2022-11-01,1401-08-10,33950,1.9%
2022-11-02,1401-08-11,34730,2.3%
2022-11-03,1401-08-12,35000,0.8%
2022-11-04,1401-08-13,35160,0.5%
2022-11-05,1401-08-14,36100,2.7%
2022-11-06,1401-08-15,36240,0.4%
2022-11-07,1401-08-16,36750,1.4%
2022-11-08,1401-08-17,36000,-2.0%
2022-11-09,1401-08-18,35650,-1.0%
2022-11-10,1401-08-19,35160,-1.4%
2022-11-11,1401-08-20,35260,0.3%
2022-11-12,1401-08-21,35080,-0.5%
2022-11-13,1401-08-22,35440,1.0%
2022-11-14,1401-08-23,35820,1.1%
2022-11-15,1401-08-24,35820,0.0%
2022-11-16,1401-08-25,35620,-0.6%
2022-11-17,1401-08-26,35370,-0.7%
2022-11-18,1401-08-27,35200,-0.5%
2022-11-19,1401-08-28,35450,0.7%
2022-11-20,1401-08-29,35340,-0.3%
2022-11-21,1401-08-30,35470,0.4%
2022-11-22,1401-09-01,35330,-0.4%
2022-11-23,1401-09-02,35250,-0.2%
2022-11-24,1401-09-03,35320,0.2%
2022-11-25,1401-09-04,35420,0.3%
2022-11-26,1401-09-05,35630,0.6%
2022-11-27,1401-09-06,35950,0.9%
2022-11-28,1401-09-07,36030,0.2%
2022-11-29,1401-09-08,35900,-0.4%
2022-11-30,1401-09-09,36170,0.8%
2022-12-01,1401-09-10,36260,0.2%
2022-12-02,1401-09-11,36230,-0.1%
2022-12-03,1401-09-12,36170,-0.2%
2022-12-04,1401-09-13,36370,0.6%
2022-12-05,1401-09-14,36350,-0.1%
2022-12-06,1401-09-15,36190,-0.4%
2022-12-07,1401-09-16,36300,0.3%
2022-12-08,1401-09-17,36450,0.4%
2022-12-09,1401-09-18,36730,0.8%
2022-12-10,1401-09-19,37020,0.8%
2022-12-11,1401-09-20,37410,1.1%
2022-12-12,1401-09-21,37950,1.4%
2022-12-13,1401-09-22,38590,1.7%
2022-12-14,1401-09-23,38290,-0.8%
2022-12-15,1401-09-24,38500,0.5%
2022-12-16,1401-09-25,38680,0.5%
2022-12-17,1401-09-26,39560,2.3%
2022-12-18,1401-09-27,39380,-0.5%
2022-12-19,1401-09-28,39670,0.7%
2022-12-20,1401-09-29,39160,-1.3%
2022-12-21,1401-09-30,39600,1.1%
2022-12-22,1401-10-01,40100,1.3%
2022-12-23,1401-10-02,40050,-0.1%
2022-12-24,1401-10-03,40580,1.3%
2022-12-25,1401-10-04,41000,1.0%
2022-12-26,1401-10-05,41520,1.3%
2022-12-27,1401-10-06,42200,1.6%
2022-12-28,1401-10-07,44000,4.3%
2022-12-29,1401-10-08,44000,0.0%
2022-12-30,1401-10-09,42000,-4.5%
2022-12-31,1401-10-10,39760,-5.3%
2023-01-01,1401-10-11,41000,3.1%
2023-01-02,1401-10-12,39950,-2.6%
2023-01-03,1401-10-13,40390,1.1%
2023-01-04,1401-10-14,39800,-1.5%
2023-01-05,1401-10-15,40020,0.6%
2023-01-06,1401-10-16,40170,0.4%
2023-01-07,1401-10-17,41400,3.1%
2023-01-08,1401-10-18,41100,-0.7%
2023-01-09,1401-10-19,40640,-1.1%
2023-01-10,1401-10-20,40820,0.4%
2023-01-11,1401-10-21,41100,0.7%
2023-01-12,1401-10-22,41190,0.2%
2023-01-13,1401-10-23,41200,0.0%
2023-01-14,1401-10-24,40900,-0.7%
2023-01-15,1401-10-25,41010,0.3%
2023-01-16,1401-10-26,41100,0.2%
2023-01-17,1401-10-27,41950,2.1%
2023-01-18,1401-10-28,43000,2.5%
2023-01-19,1401-10-29,43000,0.0%
2023-01-20,1401-10-30,43050,0.1%
2023-01-21,1401-11-01,44900,4.3%
2023-01-22,1401-11-02,45000,0.2%
2023-01-23,1401-11-03,44750,-0.6%
2023-01-24,1401-11-04,43550,-2.7%
2023-01-25,1401-11-05,43800,0.6%
2023-01-26,1401-11-06,44550,1.7%
2023-01-27,1401-11-07,44800,0.6%
2023-01-28,1401-11-08,43800,-2.2%
2023-01-29,1401-11-09,44700,2.1%
2023-01-30,1401-11-10,44320,-0.9%
2023-01-31,1401-11-11,44700,0.9%
2023-02-01,1401-11-12,44720,0.0%
2023-02-02,1401-11-13,45000,0.6%
2023-02-03,1401-11-14,44980,0.0%
2023-02-04,1401-11-15,44820,-0.4%
2023-02-05,1401-11-16,44790,-0.1%
2023-02-06,1401-11-17,44670,-0.3%
2023-02-07,1401-11-18,44300,-0.8%
2023-02-08,1401-11-19,44600,0.7%
2023-02-09,1401-11-20,45040,1.0%
2023-02-10,1401-11-21,45020,0.0%
2023-02-11,1401-11-22,45230,0.5%
2023-02-12,1401-11-23,46000,1.7%
2023-02-13,1401-11-24,45680,-0.7%
2023-02-14,1401-11-25,46150,1.0%
2023-02-15,1401-11-26,47200,2.3%
2023-02-16,1401-11-27,47650,1.0%
2023-02-17,1401-11-28,47680,0.1%
2023-02-18,1401-11-29,47670,0.0%
2023-02-19,1401-11-30,49000,2.8%
2023-02-20,1401-12-01,49900,1.8%
2023-02-21,1401-12-02,49800,-0.2%
2023-02-22,1401-12-03,51300,3.0%
2023-02-23,1401-12-04,52650,2.6%
2023-02-24,1401-12-05,54000,2.6%
2023-02-25,1401-12-06,57500,6.5%
2023-02-26,1401-12-07,58000,0.9%
2023-02-27,1401-12-08,58400,0.7%
2023-02-28,1401-12-09,55650,-4.7%
2023-03-01,1401-12-10,54050,-2.9%
